"tabla","variable","etiqueta","tipo","codigo","categoria"
"persona","p32_pueblo_cod","32. Se autoidentifica con alguna nación pueblo indígena originario campesino o afroboliviano (Especifique)","categorica","117","Salinas"
"persona","p32_pueblo_cod","32. Se autoidentifica con alguna nación pueblo indígena originario campesino o afroboliviano (Especifique)","categorica","118","Huari"
"persona","p32_pueblo_cod","32. Se autoidentifica con alguna nación pueblo indígena originario campesino o afroboliviano (Especifique)","categorica","119","Aroma"
"persona","p32_pueblo_cod","32. Se autoidentifica con alguna nación pueblo indígena originario campesino o afroboliviano (Especifique)","categorica","120","Ucumasi"
"persona","p32_pueblo_cod","32. Se autoidentifica con alguna nación pueblo indígena originario campesino o afroboliviano (Especifique)","categorica","124","Totora Marka"
"persona","p32_pueblo_cod","32. Se autoidentifica con alguna nación pueblo indígena originario campesino o afroboliviano (Especifique)","categorica","125","Choquecota"
"persona","p32_pueblo_cod","32. Se autoidentifica con alguna nación pueblo indígena originario campesino o afroboliviano (Especifique)","categorica","126","Curahuara de Carangas"
"persona","p32_pueblo_cod","32. Se autoidentifica con alguna nación pueblo indígena originario campesino o afroboliviano (Especifique)","categorica","127","Turco"
"persona","p32_pueblo_cod","32. Se autoidentifica con alguna nación pueblo indígena originario campesino o afroboliviano (Especifique)","categorica","128","Huaylla Marka"
"persona","p32_pueblo_cod","32. Se autoidentifica con alguna nación pueblo indígena originario campesino o afroboliviano (Especifique)","categorica","130","Corque"
"persona","p32_pueblo_cod","32. Se autoidentifica con alguna nación pueblo indígena originario campesino o afroboliviano (Especifique)","categorica","131","Huachacalla"
"persona","p32_pueblo_cod","32. Se autoidentifica con alguna nación pueblo indígena originario campesino o afroboliviano (Especifique)","categorica","132","Andamarca"
"persona","p32_pueblo_cod","32. Se autoidentifica con alguna nación pueblo indígena originario campesino o afroboliviano (Especifique)","categorica","133","Orinoca"
"persona","p32_pueblo_cod","32. Se autoidentifica con alguna nación pueblo indígena originario campesino o afroboliviano (Especifique)","categorica","135","Sabaya"
"persona","p32_pueblo_cod","32. Se autoidentifica con alguna nación pueblo indígena originario campesino o afroboliviano (Especifique)","categorica","137","Coroma"
"persona","p32_pueblo_cod","32. Se autoidentifica con alguna nación pueblo indígena originario campesino o afroboliviano (Especifique)","categorica","141","Tobas"
"persona","p32_pueblo_cod","32. Se autoidentifica con alguna nación pueblo indígena originario campesino o afroboliviano (Especifique)","categorica","143","Akarapis"
"persona","p32_pueblo_cod","32. Se autoidentifica con alguna nación pueblo indígena originario campesino o afroboliviano (Especifique)","categorica","145","Mojocoya"
"persona","p32_pueblo_cod","32. Se autoidentifica con alguna nación pueblo indígena originario campesino o afroboliviano (Especifique)","categorica","146","Charazani"
"persona","p32_pueblo_cod","32. Se autoidentifica con alguna nación pueblo indígena originario campesino o afroboliviano (Especifique)","categorica","147","Layme"
"persona","p32_pueblo_cod","32. Se autoidentifica con alguna nación pueblo indígena originario campesino o afroboliviano (Especifique)","categorica","148","Pojos"
"persona","p32_pueblo_cod","32. Se autoidentifica con alguna nación pueblo indígena originario campesino o afroboliviano (Especifique)","categorica","149","Belén"
"persona","p32_pueblo_cod","32. Se autoidentifica con alguna nación pueblo indígena originario campesino o afroboliviano (Especifique)","categorica","345","Uchupiamonas"
"persona","p32_pueblo_cod","32. Se autoidentifica con alguna nación pueblo indígena originario campesino o afroboliviano (Especifique)","categorica","350","Puquina"
"persona","p32_pueblo_cod","32. Se autoidentifica con alguna nación pueblo indígena originario campesino o afroboliviano (Especifique)","categorica","355","Charagua"
"persona","p32_pueblo_cod","32. Se autoidentifica con alguna nación pueblo indígena originario campesino o afroboliviano (Especifique)","categorica","356","Jesús de Machaca"
"persona","p32_pueblo_cod","32. Se autoidentifica con alguna nación pueblo indígena originario campesino o afroboliviano (Especifique)","categorica","357","Chayanta"
"persona","p32_pueblo_cod","32. Se autoidentifica con alguna nación pueblo indígena originario campesino o afroboliviano (Especifique)","categorica","410","Ayllu Kharacha"
"persona","p32_pueblo_cod","32. Se autoidentifica con alguna nación pueblo indígena originario campesino o afroboliviano (Especifique)","categorica","451","Mataco"
"persona","p32_pueblo_cod","32. Se autoidentifica con alguna nación pueblo indígena originario campesino o afroboliviano (Especifique)","categorica","454","Mojeño Trinitario"
"persona","p32_pueblo_cod","32. Se autoidentifica con alguna nación pueblo indígena originario campesino o afroboliviano (Especifique)","categorica","455","Mojeño Ignaciano"
"persona","p32_pueblo_cod","32. Se autoidentifica con alguna nación pueblo indígena originario campesino o afroboliviano (Especifique)","categorica","456","Loretano"
"persona","p32_pueblo_cod","32. Se autoidentifica con alguna nación pueblo indígena originario campesino o afroboliviano (Especifique)","categorica","457","Javeriano"
"persona","p32_pueblo_cod","32. Se autoidentifica con alguna nación pueblo indígena originario campesino o afroboliviano (Especifique)","categorica","458","Reyesano"
"persona","p32_pueblo_cod","32. Se autoidentifica con alguna nación pueblo indígena originario campesino o afroboliviano (Especifique)","categorica","463","Bésiro"
"persona","p32_pueblo_cod","32. Se autoidentifica con alguna nación pueblo indígena originario campesino o afroboliviano (Especifique)","categorica","466","Uru-ito"
"persona","p32_pueblo_cod","32. Se autoidentifica con alguna nación pueblo indígena originario campesino o afroboliviano (Especifique)","categorica","467","Toromona"
"persona","p32_pueblo_cod","32. Se autoidentifica con alguna nación pueblo indígena originario campesino o afroboliviano (Especifique)","categorica","469","Mollo"
"persona","p32_pueblo_cod","32. Se autoidentifica con alguna nación pueblo indígena originario campesino o afroboliviano (Especifique)","categorica","470","Lupaca"
"persona","p32_pueblo_cod","32. Se autoidentifica con alguna nación pueblo indígena originario campesino o afroboliviano (Especifique)","categorica","471","Chané"
